A,B,Amplitud,Tiempo,,,,,,A1,B1
0.949500,0.576000,0.018,0,,,,,,0.1899,0.1152
0.960500,0.538500,0.017,1.4,,,,,,0.1921,0.1077
0.949500,0.554000,0.015,2.66,,,,,,0.1899,0.1108
0.956000,0.543000,0.015,3.76,,,,,,0.1912,0.1086
0.960500,0.537000,0.015,5.06,,,,,,0.1921,0.1074
0.958500,0.533500,0.014,6.26,,,,,,0.1917,0.1067
0.939500,0.546500,0.014,7.4,,,,,,0.1879,0.1093
0.957000,0.584000,0.013,8.66,,,,,,0.1914,0.1168
0.957500,0.566500,0.013,9.86,,,,,,0.1915,0.1133
0.957500,0.541500,0.013,11.06,,,,,,0.1915,0.1083
,,0.012,12.26,,,,,,,
,,0.011,13.4,,,,,,,
,,0.011,14.56,,,,,,,
,,0.010,15.76,,,,,,,
,,0.010,16.96,,,,,,,
,,0.009,18,,,,,,,
,,0.009,18.86,,,,,,,
,,0.008,20.5,,,,,,,
,,0.008,21.76,,,,,,,
,,0.008,22.88,,,,,,,
,,0.007,24.06,,,,,,,
,,0.007,25.2,,,,,,,
,,0.007,26.5,,,,,,,
,,0.006,27.6,,,,,,,
,,0.006,28.84,,,,,,,
,,0.005,30,,,,,,,
,,0.005,31.26,,,,,,,
,,0.005,32.4,,,,,,,
,,0.004,33.5,,,,,,,
,,0.004,34.76,,,,,,,
,,0.004,35.96,,,,,,,
,,0.003,37.2,,,,,,,
,,0.003,38.26,,,,,,,
,,0.003,39.47,,,,,,,
,,0.002,40.66,,,,,,,
,,0.002,41.66,,,,,,,
,,0.002,43.06,,,,,,,
,,0.001,44.26,,,,,,,
,,0.001,45.26,,,,,,,
,,0.001,46.56,,,,,,,
,,0.001,47.7,,,,,,,